Wavelength (μm),Warm White 2200K,Warm White 3000K,Neutral White 4000K ,Cool White 5500K,Cool White 6500K,UVA (365 nm),Violet (385 nm),Violet (395 nm),Violet (405 nm),Deep Blue (436 nm),Royal Blue (453 nm),Dental Blue (460 nm),Cyan (500 nm),PC Lime,Green (517 nm),Amber (593 nm),PC Amber,Red (633 nm),Deep Red (660 nm),Far Red (740 nm),Infra Red (850 nm),Deep Infra Red (940 nm)
0.51,0.001754126,0.004076372,0.006433662,0.009095986,0.009263628,0.000159148,0.000191756,0.000180515,0.0002081,0.00021337,0.000314727,0.002080451,0.050099681,0.0149209,0.02379285,2.73E-05,3.34E-05,6.13E-05,1.93E-05,2.29E-05,0,0
0.511,0.001876315,0.00414066,0.006649358,0.009411395,0.009644972,0.000156316,0.000194801,0.000208574,0.000186124,0.000222381,0.000318131,0.001912975,0.047802208,0.015750646,0.024952564,2.34E-05,4.50E-05,5.49E-05,2.12E-05,4.04E-05,0,0
0.512,0.001953909,0.004229873,0.006954189,0.009687565,0.010113765,0.000147584,0.00016182,0.000172854,0.000154579,0.000190495,0.000275894,0.001734331,0.045131907,0.016517338,0.02604813,2.91E-05,5.62E-05,6.91E-05,2.91E-05,3.33E-05,0,0
0.513,0.002083933,0.004267209,0.007188015,0.010066852,0.010465235,0.000153353,0.00017975,0.000151142,0.000146177,0.000165554,0.000271315,0.001603366,0.043037381,0.017262433,0.027111898,2.63E-05,6.27E-05,8.15E-05,7.30E-05,5.88E-05,0,0
0.514,0.002143838,0.004416944,0.007396569,0.010422331,0.01073551,0.000144594,0.000206444,0.000205993,0.000119509,0.000163936,0.000299055,0.001515218,0.040728006,0.018003525,0.027936898,2.80E-05,6.71E-05,7.22E-05,7.63E-05,7.38E-05,0,0
0.515,0.002233257,0.004415998,0.007657066,0.010710779,0.011214838,0.000140153,0.000143564,0.000191756,0.000159703,0.000178587,0.000297193,0.001387533,0.038431578,0.01867857,0.028565648,2.81E-05,7.24E-05,6.34E-05,3.85E-05,5.44E-05,0,0
0.516,0.002336264,0.004598588,0.007904354,0.011034758,0.011520946,0.000152768,0.000107524,0.000194801,0.000183915,0.000160496,0.000281298,0.001254465,0.036300866,0.019323289,0.029148031,3.30E-05,8.22E-05,4.54E-05,5.58E-05,4.08E-05,0,0
0.517,0.002441989,0.004609426,0.008080668,0.011254002,0.011833311,0.000150865,0.000135588,0.00016182,0.000175996,0.00017096,0.000272691,0.001179157,0.0342927,0.019952718,0.029542345,2.89E-05,0.000100288,5.91E-05,9.99E-05,4.45E-05,0,0
0.518,0.002539006,0.004740283,0.008286002,0.011527316,0.012180136,0.000133935,0.000128013,0.00017975,0.000192859,0.000197919,0.000263433,0.001104683,0.032056126,0.020547954,0.029817366,3.66E-05,0.00010702,8.48E-05,0.000100327,5.67E-05,0,0
0.519,0.002617635,0.004751345,0.008523429,0.011769414,0.012463971,0.000139785,0.000126933,0.000206444,0.000173729,0.000194607,0.000203259,0.000995842,0.03037917,0.021063959,0.029908799,2.47E-05,0.000116074,5.18E-05,5.97E-05,1.63E-05,0,0
